Q7604	Leonhard Euler
Q41550	Organisation for Economic Cooperation and Development
Q4612	Marlene Dietrich
Q44301	Jim Morrison
Q3455803	director
Q26876	Taylor Swift
Q6607	guitar
Q242454	Zemfira
Q219060	State of Palestine
Q194333	Billy Joel
Q185085	Miguel de Unamuno
Q202550	Dido
Q664167	Arista
Q281034	Harry Nilsson
Q29	Spain
Q695	Palau
Q216341	Connie Francis
Q171969	Georges Cuvier
Q543804	German Academy of Sciences Leopoldina
Q557	Patti Smith
Q202319	Bill Haley
Q296609	Russell Brand
Q188771	French Academy of Sciences
Q916	Angola
Q15	Africa
Q228832	Julia Volkova
Q484641	pop rock
Q184535	Sofia Kovalevskaya
Q12192	pneumonia
Q760	Saint Lucia
Q349217	Norman Wisdom
Q43845	businessperson
Q61597	Erika Mann
Q77087	Klaus Mann
Q217160	Kenny Rogers
Q193023	Capitol Records
Q801	Israel
Q9960	Ronald Reagan
Q152838	University of Göttingen
Q9047	Gottfried Wilhelm Leibniz
Q154561	University of Jena
Q754	Trinidad and Tobago
Q65350	Carl Friedrich von Weizsäcker
Q37767	T. S. Eliot
Q6423963	Anglicanism
Q502	Stendhal
Q312407	John Dos Passos
Q463281	American Academy of Arts and Letters
Q905	Franz Kafka
Q12003	Cher
Q858	Syria
Q361257	Shel Silverstein
Q186327	Marilyn Manson
Q83270	hard rock
Q1019	Madagascar
Q424	Cambodia
Q212699	Geffen Records
Q207197	Gene Simmons
Q188648	Raven-Symoné
Q7066	atheism
Q216179	Bryan Ferry
Q162667	Glen Campbell
Q186472	folk rock
Q1741	Vienna
Q144622	Phil Collins
Q855091	guitarist
Q7314	Igor Stravinsky
Q1394	Vladimir Lenin
Q60285	Ernst Troeltsch
Q889	Afghanistan
Q218	Romania
Q306403	James Franco
Q49210	New York University
Q19526	Maya Angelou
Q554406	Alberto Manguel
Q128297	Maria Callas
Q503246	Juilliard School
Q151118	Katerina Graham
Q236005	Melanie Brown
Q76959	Ralf Dahrendorf
Q189	Iceland
Q563057	Charlie Rich
Q5994	piano
Q4039	Art Garfunkel
Q585643	Atco Records
Q254510	Melissa Auf der Maur
Q712	Fiji
Q544387	Ray Charles
Q686	Vanuatu
Q5104	Miranda Cosgrove
Q796	Iraq
Q241	Cuba
Q712914	Jerry Reed
Q1841	Catholicism
Q450412	Richard Sennett
Q212015	Johnny Hallyday
Q55960555	recording artist
Q1044	Sierra Leone
Q7159	African Union
Q30875	Oscar Wilde
Q207544	L. Frank Baum
Q317397	Uzeyir Hajibeyov
Q432	Islam
Q49084	short story
Q1545	Cyndi Lauper
Q40909	Virginia Woolf
Q229282	Katharine McPhee
Q180962	Norman Mailer
Q131333	George Eliot
Q79854	Communist Party of the Soviet Union
Q221074	Bud Spencer
Q45	Portugal
Q153996	Nena
Q392	Bob Dylan
Q439315	Jemaine Clement
Q16053	Melchior de Vogüé
Q38193	Arthur Schopenhauer
Q1055	Hamburg
Q123174	Vanessa Hudgens
Q316930	dance music
Q5878	Gabriel García Márquez
Q185465	Paula Abdul
Q203059	Virgin Records
Q233377	Amerie
Q117012	Yoko Ono
Q155152	Polydor Records
Q229375	Linda Ronstadt
Q315222	Ľudovít Štúr
Q809	Polish
Q6701	Jacob Grimm
Q333634	translator
Q338432	Lincean Academy
Q200586	Sheryl Crow
Q151510	Heidelberg University
Q362332	David Cross
Q364875	Todd Rundgren
Q863	Tajikistan
Q17495	Universal Postal Union
Q235931	Teena Marie
Q76791	Ferdinand von Richthofen
Q64	Berlin
Q270935	Chris Cornell
Q440996	Marietta Shaginyan
Q49757	poet
Q60969	Hermann Burmeister
Q4030	Duke Ellington
Q47912	lung cancer
Q188822	Asian Development Bank
Q355288	Berry Gordy
Q192185	Aaron Copland
Q12908	George Soros
Q1781	Budapest
Q587361	Rick Rubin
Q216364	Epic
Q963	Botswana
Q76738	Athanasius Kircher
Q12548	Holy Roman Empire
Q228909	Mary J. Blige
Q6530	Stanisław Lem
Q5891	philosophy
Q347685	Korney Chukovsky
Q134180	Truman Capote
Q892	J. R. R. Tolkien
Q57382	Christa Wolf
Q114	Kenya
Q656	Saint Petersburg
Q709	Marshall Islands
Q294278	African, Caribbean and Pacific Group of States
Q44648	Eric Burdon
Q699541	Geoffrey Ingram Taylor
Q191583	Royal Swedish Academy of Sciences
Q1065956	Charles Rosen
Q1029	Mozambique
Q155	Brazil
Q567	Angela Merkel
Q467482	Jaan Kaplinski
Q210741	Eric Idle
Q184366	Thomas Henry Huxley
Q174193	United Kingdom of Great Britain and Ireland
Q928	Philippines
Q977	Djibouti
Q34969	Benjamin Franklin
Q188094	economist
Q704700	John Hartford
Q233081	Vanessa Carlton
Q277626	A&M Records
Q187019	Philip Roth
Q214226	Lauryn Hill
Q108560	A. R. Rahman
Q9778	electronic music
Q275247	Herbert Grönemeyer
Q183412	EMI
Q60586	Barthold Georg Niebuhr
Q75814	Wilhelm Wundt
Q778	Bahamas
Q2263	Tom Hanks
Q246731	Theodosius Dobzhansky
Q82238	Cliff Richard
Q123759	Organization of American States
Q4636	Barbra Streisand
Q193803	Roger Penrose
Q653884	Hispanic America
Q206832	Gaspard Monge
Q329464	Royal Prussian Academy of Sciences
Q183279	Zhores Alfyorov
Q164119	Mark Wahlberg
Q313849	Ben Moody
Q26058	James Maslow
Q105756	John Updike
Q354033	Joe Walsh
Q191480	Ivan Andreyevich Krylov
Q582713	Simon Sechter
Q180861	Roger Waters
Q23197	Nashville
Q320895	Geddy Lee
Q254	Wolfgang Amadeus Mozart
Q16145150	music pedagogue
Q974	Democratic Republic of the Congo
Q128126	Claude Lévi-Strauss
Q9235	Georg Wilhelm Friedrich Hegel
Q93996	Ernst Mach
Q121594	professor
Q1000	Gabon
Q47543	Organisation of Islamic Cooperation
Q128799	Ricky Martin
Q297736	Yevgeny Yevtushenko
Q12144794	prosaist
Q43718	Nikolai Gogol
Q128532	Al Jolson
Q34266	Russian Empire
Q5809	Che Guevara
Q463501	Valeriya Novodvorskaya
Q233957	Severo Ochoa
Q5105	Céline Dion
Q9592	Catholic Church
Q58720	Mikhail Vassilyevich Lomonosov
Q4345832	Saint Petersburg Academy of Sciences
Q37621	Thomas Hobbes
Q827525	International Development Association
Q76409	Charles Bukowski
Q163366	Ezra Pound
Q1468277	Royal Society of Literature
Q236075	Alyson Michalka
Q189729	Philip Glass
Q51566	Spike Lee
Q358538	T-Bone Walker
Q921	Brunei
Q190231	Adam Lambert
Q93356	Seamus Heaney
Q13371	Harvard University
Q201477	Jean-Antoine-Nicolas de Caritat de Condorcet
Q67076	Ludwig Geiger
Q864380	biographer
Q234750	Suzi Quatro
Q174843	Jeff Bridges
Q33231	photographer
Q8341	jazz
Q311223	Edward Sabine
Q161885	Great Britain
Q5354	Ernst Mayr
Q199943	Adriano Celentano
Q1043527	Multilateral Investment Guarantee Agency
Q47162	Romain Rolland
Q6060	50 Cent
Q742634	Augusto Righi
Q3603946	Accademia Nazionale delle Scienze detta dei XL
Q102289	Buckminster Fuller
Q162202	Nicki Minaj
Q986	Eritrea
Q783992	Burton Cummings
Q263696	Debbie Reynolds
Q55207	Nikita Mikhalkov
Q44519	Selma Lagerlöf
Q12202	stroke
Q34981	Isaac Asimov
Q153248	Marguerite Duras
Q64238	George Henschel
Q1231865	pedagogue
Q214	Slovakia
Q220078	Kingsley Amis
Q4263842	literary critic
Q9759	blues
Q49355	James Bryant Conant
Q151593	Olivier Messiaen
Q1444	organ
Q43203	Clint Eastwood
Q106662	John Lydon
Q230445	Sara Bareilles
Q174710	University of California, Los Angeles
Q60059	Albertus Magnus
Q16031530	music theorist
Q954	Zimbabwe
Q8772	Joseph Fourier
Q3621491	archaeologist
Q131324	Janet Jackson
Q350979	zoologist
Q2599	Paul McCartney
Q288928	agnosticism
Q5383	David Bowie
Q1641839	experimental rock
Q1353559	Mort Shuman
Q42904	Dima Bilan
Q717	Venezuela
Q7197	Simone de Beauvoir
Q363371	Yegor Letov
Q158354	Pavel Jozef Šafárik
Q60052	Gustav Kirchhoff
Q263730	Alejandro Jodorowsky
Q274429	Édouard René de Laboulaye
Q82110	Steven Seagal
Q34970	D. H. Lawrence
Q121926	Henry Louis Le Châtelier
Q202801	Vanessa Williams
Q35332	Brad Pitt
Q448764	Stephen Spender
Q459620	Deutsche Akademie für Sprache und Dichtung
Q366012	Avery Brooks
Q365682	Gordon Parks
Q34660	J. K. Rowling
Q60970	Sakis Rouvas
Q49017	Hugh Laurie
Q94701	Heinrich Brunner
Q229379	Lil' Kim
Q187832	Mandy Moore
Q340016	Denis Johnson
Q189081	Howard Hughes
Q29468	Republican Party
Q265252	Buckethead
Q163829	synthesizer
Q104109	Mary Pickford
Q200464	Portuguese Empire
Q48	Asia
Q273981	Tionne Watkins
Q7833	Boris Vian
Q131814	Tina Turner
Q381944	Eldar Ryazanov
Q924232	Vince Gill
Q190220	Philip Pullman
Q4853732	children's writer
Q33391	Leon Trotsky
Q47064	military personnel
Q484523	Jared Leto
Q155375	Archibald Hill
Q340195	African Development Bank
Q47087	Arthur C. Clarke
Q484292	Chinghiz Aitmatov
Q313281	Michel Legrand
Q150630	Camillo Golgi
Q414188	Göttingen Academy of Sciences
Q79025	Walter Scott
Q241660	Angie Stone
Q1005	Gambia
Q154353	François Arago
Q232456	Macy Gray
Q189172	Andrey Korotayev
Q154959	Hugo Grotius
Q298025	Joss Whedon
Q152453	Keri Hilson
Q270123	Kiely Williams
Q11637	Judy Garland
Q267406	Vitamin C
Q167997	Otto Schmidt
Q312720	Robert Penn Warren
Q1093318	Celeste Buckingham
Q131272	soul music
Q465636	Doc Watson
Q5879	Johann Wolfgang von Goethe
Q364131	Bob Seger
Q76490	Helge Schneider
Q191020	Gary Becker
Q58328	Jean-Baptiste Biot
Q2656667	Ulf Ekberg
Q453288	George Steiner
Q190772	Siméon Denis Poisson
Q217619	Anthony Burgess
Q258846	Rickie Lee Jones
Q129119	Ruslana
Q38875	Mos Def
Q57535	Sebastian Haffner
Q334180	Xavier Cugat
Q233253	June Carter Cash
Q317427	Donovan
Q967	Burundi
Q33	Finland
Q106762	George Porter, Baron Porter of Luddenham
Q83326	Béla Bartók
Q14915627	musicologist
Q242418	Janel Parrish
Q234388	Rebbie Jackson
Q349461	Randy Jackson
Q335680	Jimmy Fallon
Q947873	television presenter
Q41239	Konstantin Eduardovich Tsiolkovskii
Q170790	mathematician
Q853	Andrei Tarkovsky
Q649	Moscow
Q34584	Anastacia
Q211756	dance-pop
Q29999	Kingdom of the Netherlands
Q273055	R. Kelly
Q27184	Jive
Q93166	Milan Kundera
Q4985	Herman Melville
Q154203	Albert Lortzing
Q7245	Mark Twain
Q72334	Toni Morrison
Q168728	Robert Frost
Q9711	Honoré de Balzac
Q121842	French people
Q152929	Meat Loaf
Q43327	Motown
Q150651	George Carlin
Q13235160	producer
Q181659	Ursula K. Le Guin
Q8016	Winston Churchill
Q164824	Jean-Baptiste Dumas
Q230395	Meaghan Jette Martin
Q14045	Moby
Q130857	disc jockey
Q204019	M.I.A.
Q2252262	rapper
Q156193	Pierre Boulez
Q685	Solomon Islands
Q354508	Sun Ra
Q806349	bandleader
Q28480	Max Brod
Q1085	Prague
Q153232	Jean Le Rond d'Alembert
Q395	mathematics
Q342778	Pat Boone
Q208909	Parlophone
Q47447	Ed Sheeran
Q164396	Victor Ambartsumian
Q298761	Clive Barker
Q483501	artist
Q61064	Wassily Kandinsky
Q81082	Henri Poincaré
Q5682	Miguel de Cervantes
Q10681	Alan Stivell
Q107420	Sheldon Lee Glashow
Q901	scientist
Q151523	György Lukács
Q1425328	USSR Union of Writers
Q736099	Renato Carosone
Q233611	International Hydrographic Organization
Q419	Peru
Q9312	Immanuel Kant
Q27306	Kingdom of Prussia
Q1151944	Mary-Kate Olsen
Q3501317	fashion designer
Q237833	George Santayana
Q1938003	Phi Beta Kappa Society
Q164784	Jean Gaston Darboux
Q16345	Leonard Nimoy
Q39658	Carl Peter Thunberg
Q80424	Nelly Furtado
Q43343	contemporary folk music
Q44461	Richard Dawkins
Q9391	Ludwig Wittgenstein
Q214917	playwright
Q231487	Monica
Q216288	Garth Brooks
Q34743	Rudyard Kipling
Q105118	Sidney Sheldon
Q221546	Jason Newsted
Q1133657	traditional heavy metal
Q812155	Bavarian Academy of Fine Arts
Q310060	Crispin Glover
Q171905	Jamie Foxx
Q44403	Heinrich Heine
Q5679	Lord Byron
Q128560	Graham Greene
Q774	Guatemala
Q836	Myanmar
Q287607	Rob Reiner
Q123225	Albrecht von Haller
Q231276	Angélique Kidjo
Q2490358	choreographer
Q935369	Daniel Lanois
Q153243	Josiah Willard Gibbs
Q1042	Seychelles
Q496967	Alliance of Small Island States
Q225	Bosnia and Herzegovina
Q21	England
Q12658	Wilhelm Ostwald
Q52954	keyboard instrument
Q917	Bhutan
Q7243	Leo Tolstoy
Q563	Brigitte Fontaine
Q9288	Hebrew
Q192515	Jason Mraz
Q202440	Atlantic Records
Q44481	Pierre-Simon Laplace
Q159636	Joseph Priestley
Q164384	Theodore von Kármán
Q126399	Warner Bros.
Q31164	Ellie Goulding
Q1327329	multi-instrumentalist
Q47667	Hu Shih
Q15646111	Academy of Arts of the GDR
Q766	Jamaica
Q244234	John Turturro
Q314424	Mark Salling
Q165706	Rodion Shchedrin
Q60025	Hannah Arendt
Q214677	Nora Ephron
Q180224	Lenny Kravitz
Q213512	Bill Cosby
Q81752	Anton Bruckner
Q131964	Austrian Empire
Q9798	saxophone
Q356986	Levon Helm
Q128309	drum kit
Q104081	Mickey Rooney
Q286339	Yvonne De Carlo
Q235066	Laurie Anderson
Q45970	Czesław Miłosz
Q201927	David Hasselhoff
Q75809	Lutheranism
Q130742	Alanis Morissette
Q9067	Hungarian
Q294927	Jerry Lewis
Q188492	Seth MacFarlane
Q234169	Irene Cara
Q47243	Elfriede Jelinek
Q1006	Guinea
Q80938	John Travolta
Q160433	Gilbert Bécaud
Q19201	Mike Shinoda
Q1001	Mohandas Karamchand Gandhi
Q185351	jurist
Q41042	Harold Pinter
Q160333	Prosper Mérimée
Q188176	William S. Burroughs
Q108941	Carrie Fisher
Q869	Thailand
Q223875	Erykah Badu
Q805	Yemen
Q42831	Ivan Turgenev
Q380407	Nikolai Fomenko
Q118233	Sergey Kuryokhin
Q316872	Afrika Bambaataa
Q722202	Yoram Kaniuk
Q1028181	painter
Q16323111	peace activist
Q165745	Mercury Records
Q3088816	Jim Messina
Q81096	engineer
Q12204	tuberculosis
Q63078	Hermann Usener
Q43287	German Empire
Q237654	Lisa Loeb
Q1282910	Eddie Money
Q191719	Zooey Deschanel
Q104154	Urbain Le Verrier
Q220480	Zora Neale Hurston
Q42493	Katy Perry
Q1298934	synth-pop
Q1151	Hector Berlioz
Q214548	Andy Williams
Q365042	Bret Michaels
Q107008	Count Basie
Q37160	David Hume
Q33866	Theodore Roosevelt
Q61	Washington, D.C.
Q107002	Evelyn Waugh
Q158175	Kid Rock
Q9648008	banjoist
Q150767	Benjamin Britten
Q181754	heart failure
Q265058	Hungarian Academy of Sciences
Q54828	Ivan Yefremov
Q1036	Uganda
Q76892	Friedrich Carl von Savigny
Q188482	Robin Gibb
Q1344	opera
Q953	Zambia
Q320146	Léo Ferré
Q792	El Salvador
Q582152	Yuri Vizbor
Q232214	Julieta Venegas
Q69631	Harald Weinrich
Q202660	Collège de France
Q174210	Julio Cortázar
Q1011	Cape Verde
Q214549	Joseph Liouville
Q15180	Soviet Union
Q882	Charlie Chaplin
Q958578	Lloyd Price
Q214574	Jan Josef Liefers
Q16473	Steve Martin
Q181683	Carly Simon
Q201221	Alexander Ivanovich Herzen
Q40479	David Mitchell
Q36591	Vladimir Nabokov
Q128746	Irving Berlin
Q239652	Bulat Okudzhava
Q14278	John Frederick William Herschel
Q466089	American Philosophical Society
Q1976514	Anatoly Krupnov
Q64406	Henrik Steffens
Q37876	Natalie Portman
Q257302	LeToya Luckett
Q272208	Montparnasse Cemetery
Q81299	Organization for Security and Co-operation in Europe
Q215546	Carrie Underwood
Q9061	Karl Marx
Q210172	Kevin Jonas
Q1025	Mauritania
Q67526	Wolfgang Schadewaldt
Q101638	Mary Wollstonecraft
Q714845	The Edge
Q657	Chad
Q83557	Nikolay Basov
Q132952	Adam Sandler
Q44412	Hans Christian Ørsted
Q269890	Don Rickles
Q95089	Ginger Rogers
Q172632	Amy Lee
Q430922	Paul Reiser
Q336640	David Byrne
Q19723482	mandolinist
Q2622688	Mikhail Zadornov
Q289003	Myles Kennedy
Q100	Boston
Q231207	Charlotte Church
Q107432	Charles Mingus Jr.
Q7200	Alexander Pushkin
Q482	poetry
Q12799318	powest
Q104358	Billie Holiday
Q128759	Stanislao Cannizzaro
Q47484	André Gide
Q295502	Darren Criss
Q1027	Mauritius
Q165911	Usher
Q970	Comoros
Q137042	Nat King Cole
Q231942	Natalie Cole
Q168419	Jérôme Lalande
Q160640	Raymond Aron
Q150445	Camille Saint-Saëns
Q9734	symphony
Q816706	Southern African Development Community
Q483907	Jack Black
Q29552	Democratic Party
Q13909	Angelina Jolie
Q170481	Asia-Pacific Economic Cooperation
Q231228	Solange Knowles
Q15935	Kanye West
Q1268	Frédéric Chopin
Q140694	Alexis de Tocqueville
Q26695	Lionel Richie
Q154759	Sven Hedin
Q311672	Roger Daltrey
Q1045	Somalia
Q19504	Fritz Lang
Q35385	Glukoza
Q822	Lebanon
Q8873	Satyajit Ray
Q153776	Dmitri Kabalevsky
Q217280	Joss Stone
Q48337	Morgan Freeman
Q371403	Kyle Gass
Q948329	character actor
Q102711	Dennis Hopper
Q126462	Thomas Paine
Q7976	American English
Q292373	Barbara Mandrell
Q757	Saint Vincent and the Grenadines
Q131259	Alexander Rybak
Q262354	Taraneh Javanbakht
Q78496	Konrad Lorenz
Q354783	Amiri Baraka
Q214665	Nino Rota
Q948	Tunisia
Q11998	Kylie Minogue
Q23517	Ricky Gervais
Q19810	Victoria Beckham
