head_id,relation_name,tail_id
18,term16,15
78,term8,55
6,term18,57
84,term11,17
11,term16,58
85,term18,13
37,term12,74
31,term21,61
34,term6,90
16,term8,30
9,term7,68
66,term15,48
11,term10,42
31,term17,89
14,term3,70
83,term8,16
4,term11,76
23,term17,71
11,term4,71
56,term1,73
25,term16,11
85,term11,50
88,term16,7
66,term6,58
19,term6,21
0,term1,79
65,term3,16
7,term16,2
47,term12,8
0,term0,77
16,term3,38
44,term16,99
70,term16,80
4,term16,22
35,term8,95
73,term2,19
70,term3,10
96,term6,17
67,term17,72
98,term5,53
96,term6,48
25,term16,102
43,term16,95
5,term6,42
56,term10,52
30,term20,27
8,term10,82
46,term16,23
50,term16,92
32,term1,41
80,term6,40
12,term7,31
30,term1,0
96,term18,85
38,term8,9
42,term9,35
69,term13,57
96,term13,72
90,term16,20
30,term16,48
4,term11,99
25,term15,26
37,term7,29
18,term8,93
56,term16,9
99,term15,89
57,term6,33
92,term15,83
58,term17,91
73,term18,79
39,term7,4
20,term2,101
40,term16,49
55,term20,76
26,term16,73
15,term13,48
31,term5,55
28,term15,19
94,term15,82
68,term22,63
7,term16,53
44,term2,31
44,term0,26
94,term17,79
36,term11,9
41,term16,11
1,term9,41
7,term12,74
19,term6,92
47,term10,5
101,term12,53
43,term1,102
3,term2,47
21,term16,95
67,term15,34
62,term17,90
8,term4,87
1,term9,55
81,term16,67
31,term5,25
65,term15,63
36,term11,66
95,term16,54
90,term7,4
78,term9,60
92,term16,51
12,term10,81
7,term5,99
23,term12,39
95,term8,0
29,term0,50
89,term8,70
84,term2,34
19,term0,87
8,term16,89
43,term18,77
38,term15,78
39,term7,40
72,term12,26
45,term10,81
7,term9,97
52,term10,38
99,term12,95
68,term3,53
13,term4,35
69,term10,32
4,term16,9
28,term20,49
22,term3,62
71,term10,96
83,term10,5
23,term16,34
19,term6,63
94,term8,20
41,term20,3
50,term4,19
88,term8,83
100,term8,27
49,term8,76
35,term20,27
103,term13,34
8,term15,74
103,term14,53
29,term9,55
74,term7,4
2,term7,21
80,term4,18
51,term10,48
83,term17,2
56,term5,60
49,term20,80
100,term12,53
18,term4,63
44,term11,22
59,term5,28
103,term7,66
90,term5,41
94,term7,5
45,term11,93
81,term15,72
69,term9,88
77,term1,12
103,term13,82
17,term16,23
97,term17,71
102,term4,90
71,term8,83
59,term11,100
98,term0,9
60,term1,28
8,term16,11
80,term13,22
100,term8,18
48,term5,74
83,term10,103
36,term13,92
22,term14,30
94,term16,103
33,term8,8
83,term9,77
80,term7,29
95,term15,74
49,term20,28
73,term1,93
66,term12,97
41,term16,37
21,term8,55
102,term4,31
7,term5,76
5,term1,12
51,term3,45
64,term15,74
80,term8,70
83,term13,82
53,term5,67
11,term15,47
25,term3,81
3,term15,89
59,term10,52
25,term9,50
88,term9,85
14,term1,101
95,term2,16
38,term11,45
51,term21,56
76,term11,99
2,term9,49
13,term7,59
31,term4,54
41,term15,66
79,term3,96
51,term8,77
61,term11,63
11,term15,73
49,term0,98
1,term15,96
63,term9,30
9,term10,13
51,term10,32
82,term15,9
73,term10,15
30,term17,90
31,term16,38
56,term5,80
22,term7,4
20,term20,28
33,term5,91
28,term1,23
51,term8,73
94,term0,31
1,term11,64
14,term11,76
71,term1,36
47,term10,10
85,term17,68
42,term8,27
78,term18,77
1,term16,80
35,term17,22
4,term16,49
97,term10,11
35,term16,70
24,term21,12
32,term11,53
80,term11,60
75,term15,90
102,term15,101
63,term9,89
20,term4,53
48,term3,40
86,term15,8
79,term3,9
22,term15,2
68,term16,71
51,term7,103
66,term9,18
6,term11,36
31,term9,9
14,term15,62
66,term12,62
65,term8,88
5,term15,0
44,term22,64
65,term11,76
28,term11,92
25,term15,67
87,term11,53
26,term4,0
38,term11,15
94,term4,0
33,term11,37
9,term16,38
94,term15,88
74,term7,14
16,term7,43
2,term6,90
5,term3,69
73,term1,87
76,term20,55
18,term16,59
57,term13,51
33,term18,87
97,term17,31
91,term18,102
92,term11,97
58,term17,83
62,term12,74
23,term5,99
42,term15,59
55,term11,1
26,term20,28
35,term16,55
59,term1,76
97,term9,30
74,term10,71
20,term3,24
89,term18,83
86,term15,82
0,term3,22
49,term12,54
46,term0,50
23,term8,16
80,term6,81
23,term12,36
50,term16,21
81,term17,41
82,term11,1
36,term7,59
75,term11,48
56,term6,21
52,term6,79
34,term7,102
54,term9,89
4,term1,83
49,term5,95
80,term13,96
48,term1,84
46,term15,13
58,term16,7
48,term7,92
10,term13,1
80,term10,61
25,term13,38
85,term2,29
22,term11,66
86,term18,85
8,term16,62
95,term18,67
66,term13,78
73,term6,102
39,term8,87
5,term22,43
48,term9,69
73,term10,68
100,term1,3
27,term17,78
37,term8,41
89,term13,86
69,term3,14
96,term8,91
78,term7,31
26,term15,29
41,term7,92
94,term7,81
50,term4,10
26,term16,83
39,term9,94
11,term3,94
76,term15,80
94,term17,61
56,term3,95
19,term0,3
7,term18,5
102,term18,87
3,term2,5
14,term16,96
56,term1,5
84,term8,7
17,term16,63
31,term6,75
22,term16,57
48,term6,22
22,term21,33
41,term17,5
19,term13,17
89,term16,16
86,term16,59
27,term11,67
56,term5,23
23,term18,101
97,term12,27
12,term15,72
90,term6,48
71,term1,44
85,term18,36
58,term15,13
25,term4,19
36,term16,77
67,term15,93
45,term16,18
75,term7,10
19,term5,35
26,term11,66
101,term18,30
90,term6,64
96,term7,5
69,term8,35
69,term17,59
62,term18,100
97,term12,39
82,term11,69
64,term15,90
35,term4,90
78,term9,7
64,term9,50
66,term8,87
79,term16,55
51,term7,61
17,term22,22
101,term20,46
15,term3,70
9,term9,49
51,term5,39
68,term8,74
30,term13,86
88,term20,87
21,term6,14
53,term13,57
62,term5,93
15,term21,2
85,term8,23
28,term7,34
101,term18,72
30,term18,68
65,term15,89
8,term17,57
46,term4,40
97,term16,53
75,term17,99
51,term18,27
82,term6,86
90,term7,15
28,term17,44
9,term7,57
87,term1,101
94,term15,75
34,term5,98
67,term15,46
57,term7,44
27,term15,29
2,term7,102
43,term6,65
5,term1,76
45,term2,83
95,term11,88
40,term11,83
98,term15,29
98,term7,103
103,term9,77
80,term11,23
38,term18,0
87,term0,56
10,term7,86
36,term15,16
6,term10,22
68,term11,52
99,term15,78
89,term13,22
62,term10,21
102,term2,80
101,term7,66
68,term13,64
71,term5,95
84,term16,97
22,term11,67
77,term2,19
34,term5,36
44,term0,66
83,term18,72
40,term15,54
21,term5,45
91,term1,100
77,term11,52
29,term4,3
15,term16,9
22,term8,20
100,term13,2
84,term17,59
21,term11,89
12,term15,43
60,term6,14
51,term1,85
70,term10,75
1,term15,74
23,term11,80
6,term16,73
41,term20,77
17,term15,39
81,term8,55
59,term7,86
64,term15,49
39,term8,20
81,term21,32
7,term4,18
84,term7,38
39,term15,48
25,term0,2
2,term10,58
10,term18,89
50,term8,23
56,term5,97
102,term15,103
57,term11,68
61,term18,73
70,term16,23
67,term12,23
18,term9,98
3,term17,32
88,term16,78
24,term16,97
92,term7,22
101,term11,73
30,term5,3
93,term4,58
38,term16,13
18,term15,25
62,term18,5
97,term7,86
48,term1,85
42,term2,23
91,term1,83
79,term5,91
5,term15,79
10,term7,44
84,term7,57
67,term16,52
60,term8,25
85,term16,97
67,term6,75
60,term8,46
21,term22,68
97,term10,92
19,term10,57
28,term16,64
54,term10,61
94,term7,68
30,term1,28
20,term16,27
34,term12,19
83,term9,73
43,term13,66
5,term3,84
57,term13,1
78,term8,69
77,term16,9
83,term3,84
73,term18,89
62,term6,12
95,term15,31
22,term21,79
18,term7,38
59,term10,10
94,term8,45
29,term4,76
100,term22,37
73,term8,36
94,term11,86
17,term13,40
72,term9,80
24,term15,9
37,term18,101
71,term0,18
69,term1,95
33,term6,81
18,term15,29
61,term11,11
24,term1,46
12,term15,23
60,term5,20
42,term8,74
96,term8,45
6,term15,53
55,term11,69
9,term3,79
65,term9,45
95,term20,20
93,term15,92
40,term3,55
21,term6,4
56,term8,26
67,term17,63
13,term16,56
83,term4,24
66,term7,38
70,term18,86
75,term16,33
60,term6,4
82,term11,64
91,term20,88
92,term4,90
40,term18,50
8,term4,45
67,term6,82
102,term10,21
88,term8,77
97,term18,12
77,term8,67
8,term13,59
35,term18,81
10,term8,26
70,term20,45
31,term21,63
51,term8,60
55,term7,102
87,term11,91
16,term15,71
85,term18,39
22,term16,103
3,term0,56
37,term22,52
8,term9,95
7,term10,11
37,term8,8
38,term15,42
93,term15,62
9,term0,18
39,term11,9
52,term13,51
98,term8,45
38,term16,49
80,term1,102
3,term15,79
52,term9,45
25,term15,71
94,term0,90
9,term6,29
77,term18,37
52,term3,24
54,term5,76
53,term9,69
96,term4,11
87,term18,54
52,term15,43
80,term18,57
73,term16,31
75,term7,92
42,term11,61
57,term18,7
101,term1,4
39,term15,34
86,term8,99
53,term0,64
48,term10,32
57,term1,91
73,term13,32
58,term16,21
60,term16,2
42,term15,68
81,term15,43
35,term15,101
71,term17,97
26,term13,21
16,term4,45
5,term3,46
4,term16,94
72,term22,10
11,term5,99
12,term16,26
97,term7,24
46,term18,44
25,term11,29
49,term4,23
46,term8,54
23,term5,20
1,term16,37
27,term8,19
93,term2,52
74,term5,88
6,term11,39
100,term16,98
51,term9,16
98,term19,99
38,term16,98
1,term16,23
27,term9,98
84,term2,75
96,term7,40
81,term16,36
82,term11,58
28,term17,22
65,term15,61
50,term3,56
56,term6,102
79,term8,6
22,term21,11
66,term13,61
26,term11,6
18,term4,62
99,term15,11
78,term12,49
61,term22,103
96,term12,7
63,term6,65
44,term13,33
42,term15,19
32,term9,46
19,term3,24
34,term7,63
32,term22,71
14,term8,27
82,term16,33
95,term18,86
88,term11,48
66,term11,9
28,term16,25
11,term7,75
34,term8,62
61,term7,13
21,term7,1
29,term9,41
37,term22,10
44,term17,28
53,term13,5
68,term8,94
25,term17,56
61,term5,91
54,term15,100
42,term5,76
3,term16,26
16,term11,34
29,term16,78
69,term4,91
57,term16,96
93,term4,46
1,term7,79
1,term11,46
29,term11,53
25,term9,55
21,term8,46
79,term6,14
100,term8,6
33,term3,86
85,term7,65
44,term13,92
82,term16,37
101,term1,91
72,term8,69
72,term5,76
40,term16,6
11,term12,26
99,term15,60
89,term11,63
8,term0,2
49,term3,92
75,term15,26
74,term7,47
89,term10,61
47,term16,94
40,term11,103
23,term7,32
95,term18,44
48,term21,57
80,term5,3
67,term8,99
8,term4,91
43,term16,8
70,term7,102
14,term11,93
84,term8,60
5,term18,89
50,term0,48
17,term9,8
66,term13,92
52,term8,46
25,term16,63
53,term0,41
5,term5,35
75,term5,18
53,term16,43
47,term22,21
41,term5,98
21,term22,5
55,term16,21
35,term4,31
37,term16,24
19,term4,8
21,term22,100
61,term6,4
20,term15,60
48,term7,11
63,term22,103
5,term8,39
73,term9,99
69,term15,90
43,term8,53
82,term4,38
28,term15,101
8,term18,6
28,term15,57
26,term5,25
25,term16,33
80,term20,36
38,term1,73
29,term16,23
79,term22,5
25,term9,85
71,term13,37
97,term12,74
61,term11,60
54,term8,85
94,term7,4
68,term22,72
24,term15,90
13,term5,84
14,term7,71
78,term18,73
36,term8,87
60,term10,43
94,term10,44
79,term11,43
75,term4,19
1,term9,25
17,term15,49
54,term16,55
12,term3,69
41,term20,101
39,term9,18
55,term16,80
33,term17,6
37,term8,16
74,term7,68
17,term16,80
102,term4,9
75,term15,96
99,term9,3
79,term16,25
60,term11,63
53,term6,13
87,term15,72
13,term6,48
90,term7,68
41,term20,93
9,term9,39
51,term0,25
56,term10,57
59,term3,70
37,term12,9
32,term2,34
49,term5,55
92,term18,87
14,term15,97
37,term15,19
96,term9,6
37,term7,96
79,term17,94
60,term6,52
3,term20,53
18,term4,43
60,term6,12
87,term11,93
65,term3,58
67,term17,43
67,term16,59
38,term21,24
31,term18,84
50,term4,101
84,term16,79
84,term7,14
29,term16,33
84,term11,50
68,term5,28
21,term1,102
12,term4,8
51,term0,1
19,term16,44
58,term4,99
39,term5,70
90,term17,30
52,term15,0
30,term16,84
22,term16,5
77,term18,78
99,term15,80
36,term18,95
61,term8,50
39,term13,72
85,term0,17
97,term17,22
58,term21,65
26,term8,99
83,term12,88
5,term8,36
20,term2,59
65,term18,35
90,term4,102
65,term18,28
18,term16,52
82,term11,16
69,term10,17
0,term5,73
4,term22,33
81,term16,86
26,term5,50
2,term21,68
61,term22,5
87,term16,66
48,term7,33
41,term15,9
33,term8,46
2,term12,19
95,term8,30
36,term13,72
18,term15,16
38,term11,19
41,term0,51
35,term11,79
5,term13,34
94,term16,59
9,term16,65
30,term1,11
34,term3,101
17,term16,72
16,term10,32
97,term18,10
28,term15,59
23,term1,28
36,term7,4
46,term4,93
91,term11,20
14,term2,100
28,term8,98
98,term15,25
17,term16,0
64,term17,76
94,term0,9
41,term13,14
45,term16,86
49,term9,74
68,term6,33
47,term1,93
11,term18,45
97,term1,33
0,term6,10
20,term16,96
96,term5,84
30,term13,13
50,term4,103
78,term22,5
78,term11,37
45,term11,52
61,term5,3
90,term7,52
90,term21,37
24,term1,1
98,term17,79
81,term3,29
17,term3,101
73,term2,56
64,term13,12
26,term9,74
102,term16,32
19,term16,94
11,term16,32
56,term0,99
81,term16,49
4,term17,50
9,term17,72
46,term15,90
102,term9,25
76,term9,91
87,term4,16
44,term15,16
36,term20,80
84,term2,25
67,term12,62
64,term10,24
41,term16,102
61,term12,18
15,term17,88
90,term9,49
51,term7,59
40,term12,85
11,term12,18
70,term20,91
2,term8,23
63,term22,100
32,term22,31
38,term16,86
72,term21,90
69,term1,24
49,term10,66
8,term18,36
102,term9,35
77,term1,38
64,term8,28
71,term5,85
13,term8,87
38,term13,2
43,term11,37
31,term6,1
51,term16,80
41,term20,20
1,term15,31
87,term4,46
13,term4,54
23,term6,38
96,term4,42
10,term8,18
20,term15,97
38,term11,52
29,term11,17
47,term2,19
53,term6,86
82,term9,88
9,term0,98
45,term15,78
20,term15,61
2,term5,67
38,term3,46
67,term0,98
99,term9,91
5,term11,83
74,term4,0
35,term15,68
38,term9,3
102,term4,96
43,term6,12
23,term7,1
41,term15,13
3,term18,35
86,term15,70
49,term15,34
94,term4,33
46,term16,33
60,term18,5
92,term15,52
13,term11,90
61,term11,33
22,term16,10
21,term15,19
47,term3,29
66,term16,10
54,term15,68
56,term11,19
32,term7,61
29,term3,56
93,term16,44
44,term2,9
29,term16,37
35,term8,46
98,term15,64
7,term18,77
87,term17,24
26,term5,41
0,term18,87
28,term18,38
33,term17,67
61,term11,30
26,term9,27
75,term13,14
98,term4,60
31,term16,3
30,term4,67
47,term18,89
63,term6,81
24,term17,20
20,term2,83
59,term13,82
23,term18,5
83,term12,55
10,term12,55
48,term11,53
14,term18,54
14,term12,95
55,term16,78
2,term0,82
85,term16,61
27,term10,86
18,term15,32
9,term16,45
71,term16,20
14,term15,37
44,term8,76
76,term18,28
76,term16,96
103,term22,33
34,term5,26
27,term11,36
2,term4,76
33,term15,10
29,term3,77
103,term16,98
46,term7,102
8,term16,72
7,term18,68
26,term0,98
101,term18,89
19,term10,100
56,term4,50
57,term1,12
94,term11,26
0,term18,45
12,term8,41
32,term21,65
83,term10,100
58,term11,51
69,term8,62
3,term17,64
60,term6,81
10,term8,27
34,term13,103
2,term4,12
62,term10,42
11,term8,74
36,term8,99
63,term8,70
93,term20,70
58,term6,86
89,term18,5
57,term13,17
60,term13,66
74,term13,37
3,term9,87
56,term13,17
85,term0,2
7,term8,46
103,term1,3
81,term9,87
101,term5,28
3,term18,102
72,term21,31
59,term6,92
15,term21,75
33,term16,2
70,term10,58
55,term11,48
28,term1,30
5,term3,29
39,term6,24
77,term18,43
0,term3,86
10,term10,100
63,term10,72
55,term11,88
77,term13,82
28,term16,32
41,term17,57
12,term0,56
75,term22,44
34,term4,45
1,term9,85
84,term15,96
62,term8,8
37,term22,5
27,term13,42
45,term15,37
95,term0,34
34,term6,66
39,term11,49
82,term9,41
21,term16,85
46,term7,61
92,term16,17
33,term15,47
20,term4,16
97,term8,85
99,term0,56
48,term21,10
103,term11,73
28,term4,96
77,term18,21
95,term16,35
46,term4,91
20,term16,26
14,term18,28
24,term17,87
33,term15,19
87,term11,4
4,term21,29
93,term15,80
74,term9,36
59,term9,87
57,term7,22
53,term7,92
2,term8,30
50,term0,53
37,term10,42
96,term6,32
1,term4,87
54,term20,94
21,term11,7
82,term7,59
91,term15,72
28,term4,90
19,term8,67
28,term8,70
95,term14,45
20,term4,2
63,term22,47
32,term17,87
47,term6,42
38,term1,77
50,term21,28
28,term16,8
80,term16,50
94,term0,96
35,term13,44
30,term4,94
92,term8,36
37,term10,63
34,term5,49
36,term9,94
46,term4,65
54,term15,47
93,term11,76
54,term5,20
38,term15,21
51,term3,12
39,term18,82
25,term10,24
68,term3,58
8,term20,99
61,term5,20
71,term16,38
56,term6,78
11,term11,54
96,term4,35
48,term7,78
2,term0,70
99,term10,65
52,term3,70
68,term8,49
2,term0,64
82,term7,79
64,term9,41
91,term10,14
88,term15,96
2,term5,74
51,term4,93
55,term11,17
79,term11,102
19,term4,16
28,term11,33
46,term4,14
97,term1,0
65,term15,21
89,term12,39
38,term1,47
66,term16,83
21,term22,103
31,term17,7
21,term12,39
78,term12,39
23,term18,81
4,term9,87
72,term4,18
96,term3,92
102,term15,10
79,term16,51
13,term7,68
46,term20,77
75,term11,70
91,term16,86
63,term16,34
36,term8,93
79,term17,74
55,term11,70
87,term18,102
66,term12,7
83,term2,56
78,term7,17
67,term8,20
48,term6,44
34,term13,52
12,term2,10
45,term2,73
35,term20,98
46,term4,99
80,term7,1
26,term18,64
24,term9,95
64,term12,77
48,term3,12
88,term8,0
26,term10,86
37,term21,66
14,term22,33
52,term10,40
24,term1,82
2,term5,27
82,term15,13
57,term5,54
2,term0,85
69,term8,80
36,term0,44
17,term12,73
77,term1,91
91,term16,39
30,term16,85
27,term11,66
43,term3,98
56,term6,43
70,term10,48
38,term15,7
62,term16,34
33,term11,72
95,term2,55
19,term0,99
47,term8,49
12,term8,9
98,term8,76
18,term15,41
62,term10,102
101,term1,3
43,term1,42
27,term15,16
80,term16,84
101,term18,79
37,term6,14
50,term3,40
29,term15,96
28,term16,53
81,term16,26
26,term12,54
83,term13,64
68,term2,19
24,term16,63
72,term5,91
10,term11,73
60,term13,96
52,term8,26
29,term16,35
61,term22,47
67,term8,45
89,term20,27
60,term16,51
56,term17,16
37,term10,61
51,term5,74
28,term20,26
42,term16,58
43,term11,23
62,term20,9
78,term4,98
54,term15,10
66,term12,23
14,term8,25
92,term15,73
78,term7,96
88,term7,10
47,term16,74
28,term20,36
70,term16,43
87,term1,73
58,term22,90
25,term17,15
66,term9,26
102,term17,67
48,term8,62
37,term9,7
100,term17,25
10,term1,20
100,term6,79
42,term7,75
15,term16,66
52,term5,54
27,term16,10
11,term8,88
47,term1,81
40,term4,48
98,term10,44
76,term15,60
96,term5,8
1,term17,76
52,term8,18
97,term18,68
55,term11,58
7,term7,1
34,term9,69
79,term7,44
54,term16,51
49,term5,50
48,term6,66
80,term5,91
61,term18,101
53,term7,42
103,term1,93
47,term9,73
98,term15,2
1,term17,93
45,term16,39
103,term1,87
30,term7,29
57,term6,92
83,term12,8
1,term7,103
12,term15,92
7,term6,14
36,term20,30
28,term1,43
64,term11,16
58,term6,22
38,term10,4
103,term11,56
41,term16,72
24,term1,29
21,term13,31
59,term18,62
25,term11,75
60,term4,94
72,term22,68
11,term18,91
41,term11,17
58,term10,17
22,term18,84
67,term16,10
43,term3,71
87,term4,1
56,term21,58
86,term18,95
36,term6,17
68,term1,93
85,term20,93
3,term4,82
94,term7,56
85,term11,25
71,term8,101
0,term4,94
54,term8,6
46,term16,37
67,term7,4
86,term16,56
63,term7,31
64,term13,100
82,term16,21
99,term16,74
22,term16,19
56,term3,85
63,term13,86
62,term10,11
82,term21,15
82,term9,55
12,term3,55
33,term4,94
49,term7,56
9,term7,103
8,term4,65
33,term8,69
78,term5,45
72,term16,67
45,term4,16
40,term4,34
101,term18,7
92,term11,11
29,term7,79
55,term11,32
100,term11,56
66,term10,90
20,term3,75
14,term11,91
82,term16,72
37,term10,102
73,term13,75
17,term3,3
41,term11,64
75,term8,77
14,term13,34
50,term0,69
23,term20,74
55,term3,4
49,term15,53
33,term7,1
75,term9,95
14,term11,99
45,term15,92
95,term16,33
48,term10,58
18,term18,84
88,term5,18
1,term11,16
37,term12,67
76,term7,71
7,term10,63
65,term10,12
40,term15,78
9,term5,25
38,term3,29
51,term3,91
24,term15,74
74,term7,52
37,term10,59
92,term16,41
60,term13,22
43,term1,54
33,term15,77
62,term17,13
88,term1,84
9,term16,20
78,term6,40
90,term5,88
71,term7,68
55,term3,12
75,term7,59
100,term13,17
65,term15,73
76,term16,74
1,term16,72
63,term12,49
10,term11,101
76,term9,93
84,term16,78
11,term6,81
36,term16,73
29,term5,98
89,term13,66
89,term9,54
24,term5,98
49,term16,77
34,term6,86
66,term18,95
4,term11,44
92,term13,44
46,term15,96
101,term6,11
66,term15,16
42,term8,8
64,term15,26
33,term10,61
60,term12,26
70,term8,97
84,term18,27
35,term8,94
84,term16,0
53,term13,68
54,term10,79
80,term1,11
34,term1,88
33,term13,90
50,term0,2
16,term13,100
2,term17,83
17,term3,20
89,term7,75
100,term1,38
42,term11,54
46,term9,84
69,term17,52
83,term18,37
16,term7,21
64,term16,102
1,term1,84
7,term7,82
35,term15,83
17,term16,28
13,term1,27
37,term5,3
65,term16,39
59,term13,29
103,term11,19
97,term4,98
29,term14,19
40,term9,91
78,term22,68
76,term2,68
47,term10,100
13,term7,52
26,term13,78
3,term15,62
29,term6,44
46,term3,81
98,term19,83
8,term7,92
10,term5,54
23,term5,76
7,term18,73
10,term1,3
103,term13,32
61,term13,66
37,term8,25
66,term0,98
44,term4,97
4,term16,67
58,term9,46
48,term21,15
85,term15,49
45,term12,84
6,term8,93
93,term15,43
29,term8,28
98,term16,40
27,term7,81
2,term17,101
64,term13,59
20,term15,62
66,term10,44
95,term11,82
45,term4,34
85,term17,15
33,term11,60
23,term2,0
20,term2,57
50,term0,29
40,term8,94
30,term8,53
83,term1,4
3,term12,84
9,term1,22
101,term8,6
5,term13,75
14,term15,60
74,term4,35
8,term16,54
63,term7,64
23,term7,2
7,term10,37
56,term8,18
88,term17,103
100,term11,83
91,term11,59
58,term1,50
1,term11,69
89,term20,9
32,term17,45
36,term10,96
82,term8,77
90,term7,10
65,term15,97
90,term17,7
73,term10,52
78,term13,44
15,term7,86
90,term15,51
99,term4,16
72,term7,82
92,term2,78
92,term15,101
4,term0,56
90,term0,94
86,term16,68
64,term13,38
51,term6,22
8,term18,22
53,term7,37
100,term13,75
59,term9,99
77,term3,24
60,term16,84
10,term1,38
61,term16,16
9,term4,102
89,term5,91
94,term11,6
31,term8,101
64,term15,71
64,term22,22
16,term9,41
27,term15,69
2,term4,40
75,term7,5
47,term8,39
11,term13,86
86,term3,0
39,term13,42
44,term22,75
49,term10,22
91,term16,74
22,term16,59
80,term6,59
26,term14,7
83,term5,54
27,term6,24
72,term7,96
2,term13,57
35,term2,60
3,term15,61
86,term18,46
17,term9,84
54,term16,32
74,term5,8
101,term8,67
18,term17,42
81,term11,99
11,term21,22
66,term13,11
2,term0,41
68,term17,8
39,term15,53
42,term6,38
2,term3,81
56,term6,37
84,term16,21
14,term2,5
76,term20,85
87,term16,22
73,term16,96
16,term9,69
82,term11,48
37,term16,50
18,term12,97
20,term15,56
36,term5,41
68,term1,4
73,term18,60
81,term3,1
67,term8,7
76,term9,45
66,term3,28
26,term20,62
3,term11,15
44,term13,78
74,term7,5
96,term8,76
19,term0,40
98,term11,27
